"Chick","Time","Weight","Diet"
"1",0,41,"1"
"1",2,48,"1"
"1",4,56,"1"
"1",6,68,"1"
"1",8,75,"1"
"1",10,86,"1"
"1",12,102,"1"
"1",14,107,"1"
"1",16,135,"1"
"1",18,155,"1"
"2",0,42,"1"
"2",2,43,"1"
"2",4,48,"1"
"2",6,60,"1"
"2",8,79,"1"
"2",10,107,"1"
"2",12,142,"1"
"2",14,164,"1"
"2",16,197,"1"
"2",18,199,"1"
"3",0,42,"1"
"3",2,49,"1"
"3",4,60,"1"
"3",6,74,"1"
"3",8,97,"1"
"3",10,123,"1"
"3",12,141,"1"
"3",14,147,"1"
"3",16,155,"1"
"3",18,159,"1"
"4",0,41,"1"
"4",2,47,"1"
"4",4,56,"1"
"4",6,73,"1"
"4",8,89,"1"
"4",10,113,"1"
"4",12,144,"1"
"4",14,174,"1"
"4",16,219,"1"
"4",18,249,"1"
"5",0,41,"1"
"5",2,52,"1"
"5",4,59,"1"
"5",6,70,"1"
"5",8,85,"1"
"5",10,99,"1"
"5",12,90,"1"
"5",14,93,"1"
"5",16,91,"1"
"5",18,100,"1"
"6",0,41,"1"
"6",2,45,"1"
"6",4,55,"1"
"6",6,62,"1"
"6",8,74,"1"
"6",10,81,"1"
"6",12,88,"1"
"6",14,97,"1"
"6",16,100,"1"
"6",18,110,"1"
"7",0,43,"1"
"7",2,51,"1"
"7",4,63,"1"
"7",6,85,"1"
"7",8,113,"1"
"7",10,139,"1"
"7",12,169,"1"
"7",14,176,"1"
"7",16,182,"1"
"7",18,184,"1"
"8",0,41,"1"
"8",2,50,"1"
"8",4,57,"1"
"8",6,60,"1"
"8",8,73,"1"
"8",10,87,"1"
"8",12,120,"1"
"8",14,134,"1"
"8",16,159,"1"
"8",18,186,"1"
"9",0,41,"1"
"9",2,51,"1"
"9",4,52,"1"
"9",6,60,"1"
"9",8,65,"1"
"9",10,66,"1"
"9",12,71,"1"
"9",14,70,"1"
"9",16,72,"1"
"9",18,80,"1"
"10",0,40,"2"
"10",2,49,"2"
"10",4,63,"2"
"10",6,85,"2"
"10",8,124,"2"
"10",10,163,"2"
"10",12,217,"2"
"10",14,240,"2"
"10",16,277,"2"
"10",18,308,"2"
"11",0,43,"2"
"11",2,55,"2"
"11",4,64,"2"
"11",6,77,"2"
"11",8,88,"2"
"11",10,96,"2"
"11",12,108,"2"
"11",14,110,"2"
"11",16,132,"2"
"11",18,148,"2"
"12",0,44,"2"
"12",2,54,"2"
"12",4,60,"2"
"12",6,74,"2"
"12",8,90,"2"
"12",10,105,"2"
"12",12,126,"2"
"12",14,135,"2"
"12",16,144,"2"
"12",18,163,"2"
"13",0,41,"2"
"13",2,51,"2"
"13",4,59,"2"
"13",6,73,"2"
"13",8,66,"2"
"13",10,69,"2"
"13",12,69,"2"
"13",14,70,"2"
"13",16,72,"2"
"13",18,71,"2"
"14",0,40,"2"
"14",2,49,"2"
"14",4,60,"2"
"14",6,77,"2"
"14",8,104,"2"
"14",10,125,"2"
"14",12,145,"2"
"14",14,164,"2"
"14",16,196,"2"
"14",18,231,"2"
"15",0,43,"2"
"15",2,47,"2"
"15",4,57,"2"
"15",6,76,"2"
"15",8,90,"2"
"15",10,114,"2"
"15",12,136,"2"
"15",14,146,"2"
"15",16,169,"2"
"15",18,205,"2"
"16",0,38,"2"
"16",2,48,"2"
"16",4,58,"2"
"16",6,74,"2"
"16",8,87,"2"
"16",10,101,"2"
"16",12,114,"2"
"16",14,124,"2"
"16",16,144,"2"
"16",18,163,"2"
"17",0,38,"2"
"17",2,45,"2"
"17",4,58,"2"
"17",6,72,"2"
"17",8,91,"2"
"17",10,113,"2"
"17",12,145,"2"
"17",14,155,"2"
"17",16,184,"2"
"17",18,209,"2"
"18",0,37,"2"
"18",2,49,"2"
"18",4,59,"2"
"18",6,74,"2"
"18",8,88,"2"
"18",10,106,"2"
"18",12,134,"2"
"18",14,149,"2"
"18",16,186,"2"
"18",18,230,"2"
"19",0,40,"3"
"19",2,51,"3"
"19",4,63,"3"
"19",6,74,"3"
"19",8,85,"3"
"19",10,103,"3"
"19",12,123,"3"
"19",14,138,"3"
"19",16,170,"3"
"19",18,203,"3"
"20",0,42,"3"
"20",2,48,"3"
"20",4,64,"3"
"20",6,81,"3"
"20",8,105,"3"
"20",10,132,"3"
"20",12,159,"3"
"20",14,178,"3"
"20",16,221,"3"
"20",18,263,"3"
"21",0,37,"3"
"21",2,49,"3"
"21",4,63,"3"
"21",6,75,"3"
"21",8,96,"3"
"21",10,110,"3"
"21",12,137,"3"
"21",14,144,"3"
"21",16,152,"3"
"21",18,146,"3"
"22",0,42,"3"
"22",2,48,"3"
"22",4,63,"3"
"22",6,86,"3"
"22",8,107,"3"
"22",10,134,"3"
"22",12,163,"3"
"22",14,188,"3"
"22",16,235,"3"
"22",18,294,"3"
"23",0,42,"3"
"23",2,52,"3"
"23",4,64,"3"
"23",6,85,"3"
"23",8,124,"3"
"23",10,159,"3"
"23",12,200,"3"
"23",14,239,"3"
"23",16,288,"3"
"23",18,334,"3"
"24",0,42,"3"
"24",2,48,"3"
"24",4,61,"3"
"24",6,77,"3"
"24",8,98,"3"
"24",10,115,"3"
"24",12,146,"3"
"24",14,165,"3"
"24",16,197,"3"
"24",18,227,"3"
"25",0,40,"3"
"25",2,47,"3"
"25",4,55,"3"
"25",6,67,"3"
"25",8,80,"3"
"25",10,83,"3"
"25",12,104,"3"
"25",14,113,"3"
"25",16,134,"3"
"25",18,158,"3"
"26",0,40,"3"
"26",2,48,"3"
"26",4,59,"3"
"26",6,73,"3"
"26",8,99,"3"
"26",10,111,"3"
"26",12,130,"3"
"26",14,155,"3"
"26",16,194,"3"
"26",18,233,"3"
"27",0,42,"3"
"27",2,49,"3"
"27",4,61,"3"
"27",6,78,"3"
"27",8,89,"3"
"27",10,108,"3"
"27",12,131,"3"
"27",14,147,"3"
"27",16,171,"3"
"27",18,214,"3"
"28",0,40,"4"
"28",2,49,"4"
"28",4,62,"4"
"28",6,84,"4"
"28",8,104,"4"
"28",10,125,"4"
"28",12,160,"4"
"28",14,172,"4"
"28",16,203,"4"
"28",18,234,"4"
"29",0,43,"4"
"29",2,56,"4"
"29",4,69,"4"
"29",6,95,"4"
"29",8,132,"4"
"29",10,158,"4"
"29",12,184,"4"
"29",14,187,"4"
"29",16,197,"4"
"29",18,197,"4"
"30",0,43,"4"
"30",2,52,"4"
"30",4,65,"4"
"30",6,87,"4"
"30",8,104,"4"
"30",10,118,"4"
"30",12,126,"4"
"30",14,137,"4"
"30",16,146,"4"
"30",18,146,"4"
"31",0,40,"4"
"31",2,51,"4"
"31",4,61,"4"
"31",6,78,"4"
"31",8,101,"4"
"31",10,118,"4"
"31",12,136,"4"
"31",14,140,"4"
"31",16,146,"4"
"31",18,174,"4"
"32",0,38,"4"
"32",2,52,"4"
"32",4,61,"4"
"32",6,83,"4"
"32",8,102,"4"
"32",10,121,"4"
"32",12,145,"4"
"32",14,157,"4"
"32",16,172,"4"
"32",18,209,"4"
"33",0,41,"4"
"33",2,54,"4"
"33",4,65,"4"
"33",6,81,"4"
"33",8,99,"4"
"33",10,123,"4"
"33",12,147,"4"
"33",14,157,"4"
"33",16,167,"4"
"33",18,185,"4"
"34",0,40,"4"
"34",2,51,"4"
"34",4,64,"4"
"34",6,80,"4"
"34",8,105,"4"
"34",10,126,"4"
"34",12,154,"4"
"34",14,170,"4"
"34",16,222,"4"
"34",18,260,"4"
"35",0,39,"4"
"35",2,54,"4"
"35",4,64,"4"
"35",6,84,"4"
"35",8,109,"4"
"35",10,129,"4"
"35",12,154,"4"
"35",14,165,"4"
"35",16,181,"4"
"35",18,203,"4"
"36",0,42,"4"
"36",2,55,"4"
"36",4,66,"4"
"36",6,83,"4"
"36",8,104,"4"
"36",10,123,"4"
"36",12,156,"4"
"36",14,175,"4"
"36",16,206,"4"
"36",18,232,"4"
