Location,Sample,Study_day,Stage,Type ,Nutrient 
control,con_15_sp1,0,Initial,EC ,-0.74656353
grave,gr_15_sp1,0,Initial,EC ,-0.86163601
control,con_15_sp2,0,Initial,EC ,-0.85590987
grave,gr_15_sp2,0,Initial,EC ,-0.74706743
control,con_15_sp3,0,Initial,EC ,-0.8057489
grave,gr_15_sp3,0,Initial,EC ,-0.68485867
control,con_15_sp1,8,Bloat,EC ,-0.53721592
grave,gr_15_sp1,8,Bloat,EC ,-0.33047943
control,con_15_sp2,8,Bloat,EC ,-0.58682718
grave,gr_15_sp2,8,Bloat,EC ,-0.33597652
control,con_15_sp3,8,Bloat,EC ,-0.59511863
grave,gr_15_sp3,8,Bloat,EC ,-0.3625458
control,con_15_sp1,12,Active,EC ,-0.73593582
grave,gr_15_sp1,12,Active,EC ,-0.09822727
control,con_15_sp2,12,Active,EC ,-0.70611409
grave,gr_15_sp2,12,Active,EC ,1.89630119
control,con_15_sp3,12,Active,EC ,-0.7373559
grave,gr_15_sp3,12,Active,EC ,0.92148342
control,con_15_sp1,16,Advanced,EC ,-0.1990073
grave,gr_15_sp1,16,Advanced,EC ,2.28934331
control,con_15_sp2,16,Advanced,EC ,-0.67001652
grave,gr_15_sp2,16,Advanced,EC ,2.25773503
control,con_15_sp3,16,Advanced,EC ,-0.76204701
grave,gr_15_sp3,16,Advanced,EC ,0.43040981
control,con_15_sp1,27,Advanced2,EC ,-0.76406261
grave,gr_15_sp1,27,Advanced2,EC ,0.83994321
control,con_15_sp2,27,Advanced2,EC ,-0.74546412
grave,gr_15_sp2,27,Advanced2,EC ,1.19496378
control,con_15_sp3,27,Advanced2,EC ,-0.74642611
grave,gr_15_sp3,27,Advanced2,EC ,0.81383202
control,con_15_sp1,43,Advanced3,EC ,-0.58206304
grave,gr_15_sp1,43,Advanced3,EC ,2.24307611
control,con_15_sp2,43,Advanced3,EC ,-0.64972309
grave,gr_15_sp2,43,Advanced3,EC ,1.18626005
control,con_15_sp3,43,Advanced3,EC ,-0.68838597
grave,gr_15_sp3,43,Advanced3,EC ,1.05799456
control,con_15_sp1,58,Advanced4,EC ,-0.68957701
grave,gr_15_sp1,58,Advanced4,EC ,1.81292861
control,con_15_sp2,58,Advanced4,EC ,-0.80515338
grave,gr_15_sp2,58,Advanced4,EC ,0.57150186
control,con_15_sp3,58,Advanced4,EC ,-0.81000915
grave,gr_15_sp3,58,Advanced4,EC ,0.23892775
control,con_15_sp1,72,Advanced5,EC ,-0.58421606
grave,gr_15_sp1,72,Advanced5,EC ,3.8363168
control,con_15_sp2,72,Advanced5,EC ,-0.73002645
grave,gr_15_sp2,72,Advanced5,EC ,0.85735067
control,con_15_sp3,72,Advanced5,EC ,-0.78440186
grave,gr_15_sp3,72,Advanced5,EC ,0.12669544
control,con_15_sp1,86,Advanced6,EC ,-0.68233917
grave,gr_15_sp1,86,Advanced6,EC ,1.33651392
control,con_15_sp2,86,Advanced6,EC ,-0.84615253
grave,gr_15_sp2,86,Advanced6,EC ,-0.01210615
control,con_15_sp3,86,Advanced6,EC ,-0.75522146
grave,gr_15_sp3,86,Advanced6,EC ,0.154639
control,con_15_sp1,103,Advanced7,EC ,-0.66873386
grave,gr_15_sp1,103,Advanced7,EC ,1.71535522
control,con_15_sp2,103,Advanced7,EC ,-0.62498617
grave,gr_15_sp2,103,Advanced7,EC ,0.21510702
control,con_15_sp3,103,Advanced7,EC ,-0.7660324
grave,gr_15_sp3,103,Advanced7,EC ,0.62784706
control,con_15_sp1,117,Advanced8,EC ,-0.59685938
grave,gr_15_sp1,117,Advanced8,EC ,2.16016163
control,con_15_sp2,117,Advanced8,EC ,-0.74367756
grave,gr_15_sp2,117,Advanced8,EC ,0.1853311
control,con_15_sp3,117,Advanced8,EC ,-0.73579839
grave,gr_15_sp3,117,Advanced8,EC ,0.25725139
control,con_15_sp1,132,Advanced9,EC ,-0.64005736
grave,gr_15_sp1,132,Advanced9,EC ,2.02227623
control,con_15_sp2,132,Advanced9,EC ,-0.77514842
grave,gr_15_sp2,132,Advanced9,EC ,0.10241662
control,con_15_sp3,132,Advanced9,EC ,-0.7197194
grave,gr_15_sp3,132,Advanced9,EC ,0.17113027
control,con_15_sp1,150,Advanced10,EC ,-0.64899014
grave,gr_15_sp1,150,Advanced10,EC ,0.8765905
control,con_15_sp2,150,Advanced10,EC ,-0.75503822
grave,gr_15_sp2,150,Advanced10,EC ,0.06393697
control,con_15_sp3,150,Advanced10,EC ,-0.72805666
grave,gr_15_sp3,150,Advanced10,EC ,0.0314125
control,con_15_sp1,168,Advanced11,EC ,-0.65347943
grave,gr_15_sp1,168,Advanced11,EC ,0.26274849
control,con_15_sp2,168,Advanced11,EC ,-0.75865714
grave,gr_15_sp2,168,Advanced11,EC ,0.49362638
control,con_15_sp3,168,Advanced11,EC ,-0.75535888
grave,gr_15_sp3,168,Advanced11,EC ,-0.44683456
control,con_15_sp1,0,Initial,NH4 ,-0.51850324
grave,gr_15_sp1,0,Initial,NH4 ,-0.51380038
control,con_15_sp2,0,Initial,NH4 ,-0.50435632
grave,gr_15_sp2,0,Initial,NH4 ,-0.50997021
control,con_15_sp3,0,Initial,NH4 ,-0.49869999
grave,gr_15_sp3,0,Initial,NH4 ,-0.49890637
control,con_15_sp1,8,Bloat,NH4 ,-0.51441624
grave,gr_15_sp1,8,Bloat,NH4 ,-0.38030252
control,con_15_sp2,8,Bloat,NH4 ,-0.50899803
grave,gr_15_sp2,8,Bloat,NH4 ,-0.42815681
control,con_15_sp3,8,Bloat,NH4 ,-0.50366853
grave,gr_15_sp3,8,Bloat,NH4 ,-0.42016954
control,con_15_sp1,12,Active,NH4 ,-0.51276516
grave,gr_15_sp1,12,Active,NH4 ,0.31417605
control,con_15_sp2,12,Active,NH4 ,-0.50638068
grave,gr_15_sp2,12,Active,NH4 ,0.68539942
control,con_15_sp3,12,Active,NH4 ,-0.48965775
grave,gr_15_sp3,12,Active,NH4 ,2.08590652
control,con_15_sp1,16,Advanced,NH4 ,-0.51480086
grave,gr_15_sp1,16,Advanced,NH4 ,4.01690767
control,con_15_sp2,16,Advanced,NH4 ,-0.49800287
grave,gr_15_sp2,16,Advanced,NH4 ,2.43035829
control,con_15_sp3,16,Advanced,NH4 ,-0.50898896
grave,gr_15_sp3,16,Advanced,NH4 ,0.70727282
control,con_15_sp1,27,Advanced2,NH4 ,-0.50872531
grave,gr_15_sp1,27,Advanced2,NH4 ,3.32558323
control,con_15_sp2,27,Advanced2,NH4 ,-0.50310718
grave,gr_15_sp2,27,Advanced2,NH4 ,-0.17870856
control,con_15_sp3,27,Advanced2,NH4 ,-0.49969439
grave,gr_15_sp3,27,Advanced2,NH4 ,0.0785093
control,con_15_sp1,43,Advanced3,NH4 ,-0.49986595
grave,gr_15_sp1,43,Advanced3,NH4 ,1.99829947
control,con_15_sp2,43,Advanced3,NH4 ,-0.49229329
grave,gr_15_sp2,43,Advanced3,NH4 ,-0.06365388
control,con_15_sp3,43,Advanced3,NH4 ,-0.51199276
grave,gr_15_sp3,43,Advanced3,NH4 ,0.58584407
control,con_15_sp1,58,Advanced4,NH4 ,-0.53549126
grave,gr_15_sp1,58,Advanced4,NH4 ,2.58636505
control,con_15_sp2,58,Advanced4,NH4 ,-0.54378125
grave,gr_15_sp2,58,Advanced4,NH4 ,-0.16361555
control,con_15_sp3,58,Advanced4,NH4 ,-0.51111389
grave,gr_15_sp3,58,Advanced4,NH4 ,-0.32362271
control,con_15_sp1,72,Advanced5,NH4 ,-0.52280824
grave,gr_15_sp1,72,Advanced5,NH4 ,3.35352992
control,con_15_sp2,72,Advanced5,NH4 ,-0.51647006
grave,gr_15_sp2,72,Advanced5,NH4 ,0.64035515
control,con_15_sp3,72,Advanced5,NH4 ,-0.52641767
grave,gr_15_sp3,72,Advanced5,NH4 ,-0.1526769
control,con_15_sp1,86,Advanced6,NH4 ,-0.52360518
grave,gr_15_sp1,86,Advanced6,NH4 ,2.17802558
control,con_15_sp2,86,Advanced6,NH4 ,-0.50127833
grave,gr_15_sp2,86,Advanced6,NH4 ,-0.0960668
control,con_15_sp3,86,Advanced6,NH4 ,-0.52599979
grave,gr_15_sp3,86,Advanced6,NH4 ,0.29804717
control,con_15_sp1,103,Advanced7,NH4 ,-0.51884861
grave,gr_15_sp1,103,Advanced7,NH4 ,0.69301362
control,con_15_sp2,103,Advanced7,NH4 ,-0.51206748
grave,gr_15_sp2,103,Advanced7,NH4 ,-0.46295861
control,con_15_sp3,103,Advanced7,NH4 ,-0.52138206
grave,gr_15_sp3,103,Advanced7,NH4 ,-0.01101967
control,con_15_sp1,117,Advanced8,NH4 ,-0.51564677
grave,gr_15_sp1,117,Advanced8,NH4 ,1.30492784
control,con_15_sp2,117,Advanced8,NH4 ,-0.50919139
grave,gr_15_sp2,117,Advanced8,NH4 ,-0.39821802
control,con_15_sp3,117,Advanced8,NH4 ,-0.51773883
grave,gr_15_sp3,117,Advanced8,NH4 ,0.07777107
control,con_15_sp1,132,Advanced9,NH4 ,-0.53419647
grave,gr_15_sp1,132,Advanced9,NH4 ,0.46833054
control,con_15_sp2,132,Advanced9,NH4 ,-0.53370098
grave,gr_15_sp2,132,Advanced9,NH4 ,-0.48126557
control,con_15_sp3,132,Advanced9,NH4 ,-0.53911322
grave,gr_15_sp3,132,Advanced9,NH4 ,-0.20683313
control,con_15_sp1,150,Advanced10,NH4 ,-0.51726717
grave,gr_15_sp1,150,Advanced10,NH4 ,0.78482969
control,con_15_sp2,150,Advanced10,NH4 ,-0.51043697
grave,gr_15_sp2,150,Advanced10,NH4 ,-0.4233321
control,con_15_sp3,150,Advanced10,NH4 ,-0.5130557
grave,gr_15_sp3,150,Advanced10,NH4 ,-0.35080173
control,con_15_sp1,168,Advanced11,NH4 ,-0.51983714
grave,gr_15_sp1,168,Advanced11,NH4 ,-0.07356955
control,con_15_sp2,168,Advanced11,NH4 ,-0.51856575
grave,gr_15_sp2,168,Advanced11,NH4 ,-0.40634236
control,con_15_sp3,168,Advanced11,NH4 ,-0.52347913
grave,gr_15_sp3,168,Advanced11,NH4 ,-0.46305065
control,con_15_sp1,0,Initial,NO3 ,-0.35488151
grave,gr_15_sp1,0,Initial,NO3 ,-0.37026905
control,con_15_sp2,0,Initial,NO3 ,-0.26168608
grave,gr_15_sp2,0,Initial,NO3 ,-0.2767534
control,con_15_sp3,0,Initial,NO3 ,-0.36331514
grave,gr_15_sp3,0,Initial,NO3 ,-0.23062291
control,con_15_sp1,8,Bloat,NO3 ,-0.30363419
grave,gr_15_sp1,8,Bloat,NO3 ,-0.11061329
control,con_15_sp2,8,Bloat,NO3 ,-0.4004079
grave,gr_15_sp2,8,Bloat,NO3 ,-0.51434162
control,con_15_sp3,8,Bloat,NO3 ,-0.39089671
grave,gr_15_sp3,8,Bloat,NO3 ,-0.36306751
control,con_15_sp1,12,Active,NO3 ,-0.32493809
grave,gr_15_sp1,12,Active,NO3 ,-0.50812871
control,con_15_sp2,12,Active,NO3 ,-0.31907486
grave,gr_15_sp2,12,Active,NO3 ,-0.41997015
control,con_15_sp3,12,Active,NO3 ,-0.27486175
grave,gr_15_sp3,12,Active,NO3 ,-0.55763446
control,con_15_sp1,16,Advanced,NO3 ,-0.30099639
grave,gr_15_sp1,16,Advanced,NO3 ,-0.57755434
control,con_15_sp2,16,Advanced,NO3 ,-0.33982938
grave,gr_15_sp2,16,Advanced,NO3 ,-0.54392037
control,con_15_sp3,16,Advanced,NO3 ,-0.47700857
grave,gr_15_sp3,16,Advanced,NO3 ,-0.598017
control,con_15_sp1,27,Advanced2,NO3 ,-0.32295129
grave,gr_15_sp1,27,Advanced2,NO3 ,-0.10037309
control,con_15_sp2,27,Advanced2,NO3 ,-0.38512875
grave,gr_15_sp2,27,Advanced2,NO3 ,-0.57594116
control,con_15_sp3,27,Advanced2,NO3 ,-0.39867311
grave,gr_15_sp3,27,Advanced2,NO3 ,-0.57491874
control,con_15_sp1,43,Advanced3,NO3 ,-0.25048364
grave,gr_15_sp1,43,Advanced3,NO3 ,-0.2373803
control,con_15_sp2,43,Advanced3,NO3 ,-0.35423535
grave,gr_15_sp2,43,Advanced3,NO3 ,-0.24450301
control,con_15_sp3,43,Advanced3,NO3 ,-0.44652556
grave,gr_15_sp3,43,Advanced3,NO3 ,-0.54460273
control,con_15_sp1,58,Advanced4,NO3 ,-0.1601931
grave,gr_15_sp1,58,Advanced4,NO3 ,-0.35283966
control,con_15_sp2,58,Advanced4,NO3 ,-0.30624654
grave,gr_15_sp2,58,Advanced4,NO3 ,-0.6006036
control,con_15_sp3,58,Advanced4,NO3 ,-0.39083047
grave,gr_15_sp3,58,Advanced4,NO3 ,-0.47597419
control,con_15_sp1,72,Advanced5,NO3 ,-0.35726574
grave,gr_15_sp1,72,Advanced5,NO3 ,-0.22725274
control,con_15_sp2,72,Advanced5,NO3 ,-0.46875906
grave,gr_15_sp2,72,Advanced5,NO3 ,-0.21364915
control,con_15_sp3,72,Advanced5,NO3 ,-0.53238685
grave,gr_15_sp3,72,Advanced5,NO3 ,-0.51116536
control,con_15_sp1,86,Advanced6,NO3 ,-0.1777467
grave,gr_15_sp1,86,Advanced6,NO3 ,0.45554481
control,con_15_sp2,86,Advanced6,NO3 ,-0.31972984
grave,gr_15_sp2,86,Advanced6,NO3 ,0.83669422
control,con_15_sp3,86,Advanced6,NO3 ,-0.40729761
grave,gr_15_sp3,86,Advanced6,NO3 ,-0.47688799
control,con_15_sp1,103,Advanced7,NO3 ,-0.27797479
grave,gr_15_sp1,103,Advanced7,NO3 ,2.52427373
control,con_15_sp2,103,Advanced7,NO3 ,-0.42329048
grave,gr_15_sp2,103,Advanced7,NO3 ,1.43751148
control,con_15_sp3,103,Advanced7,NO3 ,-0.44439494
grave,gr_15_sp3,103,Advanced7,NO3 ,-0.48116524
control,con_15_sp1,117,Advanced8,NO3 ,-0.08842209
grave,gr_15_sp1,117,Advanced8,NO3 ,4.45173545
control,con_15_sp2,117,Advanced8,NO3 ,-0.15345251
grave,gr_15_sp2,117,Advanced8,NO3 ,2.47215912
control,con_15_sp3,117,Advanced8,NO3 ,-0.31447279
grave,gr_15_sp3,117,Advanced8,NO3 ,-0.04169115
control,con_15_sp1,132,Advanced9,NO3 ,-0.37376232
grave,gr_15_sp1,132,Advanced9,NO3 ,4.63685072
control,con_15_sp2,132,Advanced9,NO3 ,-0.50393727
grave,gr_15_sp2,132,Advanced9,NO3 ,0.96969038
control,con_15_sp3,132,Advanced9,NO3 ,-0.54191982
grave,gr_15_sp3,132,Advanced9,NO3 ,-0.31094283
control,con_15_sp1,150,Advanced10,NO3 ,-0.27281802
grave,gr_15_sp1,150,Advanced10,NO3 ,1.60998079
control,con_15_sp2,150,Advanced10,NO3 ,-0.40804305
grave,gr_15_sp2,150,Advanced10,NO3 ,0.90619928
control,con_15_sp3,150,Advanced10,NO3 ,-0.39205851
grave,gr_15_sp3,150,Advanced10,NO3 ,0.04478358
control,con_15_sp1,168,Advanced11,NO3 ,-0.20883068
grave,gr_15_sp1,168,Advanced11,NO3 ,2.04038931
control,con_15_sp2,168,Advanced11,NO3 ,-0.2702064
grave,gr_15_sp2,168,Advanced11,NO3 ,2.67115914
control,con_15_sp3,168,Advanced11,NO3 ,-0.30448962
grave,gr_15_sp3,168,Advanced11,NO3 ,0.35186917
